time_us,Sx,Sy
0.0,0.978,0.006000000000000005
4.0,0.97,0.17399999999999993
8.0,0.942,0.36600000000000005
12.0,0.8480000000000001,0.458
16.0,0.756,0.5800000000000001
20.0,0.6639999999999999,0.732
24.0,0.5820000000000001,0.804
28.0,0.418,0.878
32.0,0.312,0.8979999999999999
36.0,0.12200000000000005,0.946
40.0,-0.062,0.942
44.0,-0.15400000000000003,0.9219999999999999
48.0,-0.302,0.8300000000000001
52.0,-0.43800000000000006,0.776
56.0,-0.502,0.72
60.0,-0.638,0.5800000000000001
64.0,-0.7020000000000001,0.42200000000000004
68.0,-0.732,0.348
72.0,-0.752,0.24200000000000005
76.0,-0.762,0.09599999999999997
80.0,-0.7819999999999999,-0.12000000000000005
84.0,-0.736,-0.22399999999999998
88.0,-0.678,-0.2839999999999999
92.0,-0.54,-0.32599999999999996
96.0,-0.502,-0.4159999999999999
100.0,-0.44399999999999995,-0.532
104.0,-0.372,-0.532
108.0,-0.21800000000000003,-0.598
112.0,-0.09999999999999998,-0.5900000000000001
116.0,-0.04799999999999999,-0.6000000000000001
120.0,0.03799999999999998,-0.6279999999999999
124.0,0.17000000000000004,-0.56
128.0,0.256,-0.54
132.0,0.306,-0.5
136.0,0.346,-0.36800000000000005
140.0,0.45799999999999996,-0.32000000000000006
144.0,0.51,-0.274
148.0,0.488,-0.15200000000000002
152.0,0.5680000000000001,-0.09400000000000003
156.0,0.536,-0.0040000000000000036
