time_us,Sx,Sy
0.0,0.986,0.0
4.0,0.974,0.174
8.0,0.9359999999999999,0.254
12.0,0.87,0.452
16.0,0.77,0.6259999999999999
20.0,0.6859999999999999,0.69
24.0,0.5900000000000001,0.806
28.0,0.38000000000000006,0.8660000000000001
32.0,0.302,0.906
36.0,0.13200000000000006,0.956
40.0,0.038000000000000034,0.9299999999999999
44.0,-0.10200000000000004,0.9299999999999999
48.0,-0.31,0.866
52.0,-0.41200000000000003,0.806
56.0,-0.508,0.7220000000000001
60.0,-0.62,0.584
64.0,-0.676,0.52
68.0,-0.746,0.394
72.0,-0.774,0.22600000000000003
76.0,-0.7879999999999999,0.15200000000000002
80.0,-0.732,-0.014000000000000012
84.0,-0.7260000000000001,-0.09400000000000003
88.0,-0.64,-0.20600000000000002
92.0,-0.636,-0.356
96.0,-0.5619999999999999,-0.356
100.0,-0.422,-0.46399999999999997
104.0,-0.454,-0.5780000000000001
108.0,-0.29800000000000004,-0.538
112.0,-0.19,-0.532
116.0,-0.10199999999999998,-0.614
120.0,0.03199999999999997,-0.5900000000000001
124.0,0.068,-0.5740000000000001
128.0,0.22000000000000003,-0.556
132.0,0.24599999999999997,-0.538
136.0,0.332,-0.42199999999999993
140.0,0.38399999999999995,-0.34600000000000003
144.0,0.402,-0.3320000000000001
148.0,0.47,-0.21799999999999997
152.0,0.528,-0.15200000000000002
156.0,0.556,-0.08200000000000002
160.0,0.52,0.066
